lat,lon,id,DAYS_OF_OPERATION,HOURLY_RATE,MAX_TIME,HOURS_OF_OPERATION,TYPE_OF_METER
34.14227907,-118.1446097,212,Mon-Sat,1.25,2,9am-6pm,single-space
34.14228375,-118.1446792,213,Mon-Sat,1.25,2,9am-6pm,single-space
34.14464211,-118.1425191,214,Sun-Sat,1.25,1,7am-8pm,single-space
34.14464339,-118.1424431,215,Sun-Sat,1.25,1,7am-8pm,single-space
34.14464408,-118.1423671,216,Sun-Sat,1.25,1,7am-8pm,single-space
34.14773049,-118.147487,217,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14774604,-118.1474433,218,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14776577,-118.1474053,219,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14779741,-118.1473738,220,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14783799,-118.1473559,221,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14787853,-118.1473567,222,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14791728,-118.147369,223,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14784532,-118.1476966,224,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14789303,-118.147696,225,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14793002,-118.1476796,226,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14796405,-118.1476509,227,Sun-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14745285,-118.1477713,228,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14739501,-118.1477704,229,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14734313,-118.1477703,230,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14699965,-118.1477669,231,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14705689,-118.1477677,232,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14711801,-118.1477685,233,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14741017,-118.1475567,234,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14735591,-118.1475573,235,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14729926,-118.1475526,236,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14721995,-118.1475517,237,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14715615,-118.1475516,238,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14708906,-118.1475522,239,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14702823,-118.147555,240,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14637381,-118.1477625,241,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.146522,-118.1477592,242,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14656731,-118.1477622,243,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14805391,-118.1490171,244,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14811413,-118.1490194,245,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14818689,-118.1490188,246,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14825188,-118.1490196,247,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14852112,-118.1490237,248,Sun-Thurs/Fri-Sat,1.25,0.25,11am-8pm/11am-2am,single-space
34.14910671,-118.1490276,249,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14916276,-118.1490291,250,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14922895,-118.1490292,251,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14929336,-118.1490293,252,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.148694,-118.1488249,253,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.1486296,-118.1488255,254,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14856222,-118.148824,255,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14849662,-118.1488217,256,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14808427,-118.1488181,257,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14815224,-118.1488211,258,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14821963,-118.1488191,259,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.1482888,-118.1488213,260,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14835798,-118.1488215,261,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14842894,-118.1488223,262,Sun-Thurs/Fri-Sat,1.25,4,11am-8pm/11am-2am,single-space
34.14695608,-118.1490069,263,Sun-Thurs/Fri-Sat,1.25,0.25,11am-8pm/11am-2am,single-space
34.14700975,-118.149007,264,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14707892,-118.1490085,265,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14714035,-118.1490087,266,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14727362,-118.1490096,267,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14733564,-118.1490097,268,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14740302,-118.1490141,269,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14745903,-118.148812,270,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14740476,-118.1488119,271,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14733916,-118.1488118,272,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14727834,-118.1488109,273,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14721752,-118.1488101,274,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
