lat,lon,id,Sign
34.14685889,-118.1398484,1351, 2 hr parking 9am-6pm
34.14652816,-118.1398458,1352, 1 hr parking 9am-6pm
34.1462615,-118.1398458,1353, 1 hr parking 9am-6pm
34.14553112,-118.1398307,1354, 1 hr parking 9am-6pm
34.14511892,-118.1398273,1355, 1 hr parking 9am-6pm
34.14411768,-118.139813,1356, 1 hr parking 9am-6pm
34.14387955,-118.139813,1357, 1 hr parking 9am-6pm
34.14376884,-118.1398114,1358, 1 hr parking 9am-6pm
34.14344438,-118.139808,1359, 2 hr parking 9am-6pm
34.14315547,-118.139803,1360, 2 hr parking 9am-6pm
34.14274566,-118.1397992,1361, 2 hr parking 9am-6pm
34.14209414,-118.1397926,1362, 1 hr parking 9am-6pm
34.14173769,-118.1397907,1363, 2 hr parking 9am-6pm
34.14097128,-118.139783,1364, 2 hr parking 9am-6pm
34.14064591,-118.1397792,1365, no parking during street cleaning days
34.1401427,-118.1397745,1366, 2 hr parking 9am-6pm
34.13963162,-118.1397726,1367, 2 hr parking 9am-6pm
34.13920709,-118.1397683,1368, no parking during street cleaning days
34.13878139,-118.1397631,1369, 2 hr parking 9am-6pm
34.13834505,-118.1397602,1370, 2 hr parking 9am-6pm
34.13787694,-118.1397547,1371, 2 hr parking 9am-6pm
34.137479,-118.1397527,1372, 2 hr parking 9am-6pm
34.13700742,-118.1397517,1373, 2 hr parking 9am-6pm
34.13677149,-118.1397476,1374, no parking during street cleaning days
34.13613647,-118.1397411,1375, 2 hr parking 9am-6pm
34.13628855,-118.1412507,1376, 2 hr parking 9am-6pm
34.13667311,-118.1412506,1377, 2 hr parking 9am-6pm
34.13707319,-118.1412572,1378, 2 hr parking 9am-6pm
34.13743096,-118.141261,1379, 2 hr parking 9am-6pm
34.13782395,-118.1412638,1380, 2 hr parking 9am-6pm
34.13875584,-118.1412703,1381, 2 hr parking 9am-6pm
34.13914431,-118.1412741,1382, 2 hr parking 9am-6pm
34.13952555,-118.141279,1383, 2 hr parking 9am-6pm
34.14068101,-118.1412889,1384, bus stop metro
34.14133733,-118.1412938,1385, no stopping anytime
34.14107806,-118.141291,1386, no stopping anytime
34.14175876,-118.1412627,1387, parking direction
34.14262331,-118.1412692,1388, bus stop metro
34.14262963,-118.1412692,1389, no stopping anytime
34.14296659,-118.1412725,1390, no stopping anytime
34.14330355,-118.1412736,1391, no stopping anytime
